,time,video_jump,response_speed,response_type,quest_threshold,quest_sd
0,0,-0.5,-8.135143699939363,missed,0.8284713388870533,0.3918952216917611
1,0,0.5,-8.695565499947406,missed,0.8284713388870533,0.3918952216917611
2,0,-0.8585125026408056,-9.143096499959938,missed,1.0829760160783524,0.3229166490407247
3,0,-0.8585125026408056,-9.143096499959938,correct rejection,1.0829760160783524,0.3229166490407247
4,0,-0.8585125026408056,-9.143096499959938,correct rejection,1.0829760160783524,0.3229166490407247
5,0,-0.8585125026408056,-9.143096499959938,correct rejection,1.0829760160783524,0.3229166490407247
6,0,-0.8585125026408056,-9.143096499959938,correct rejection,1.0829760160783524,0.3229166490407247
7,0,-1.0,-11.469727199990302,missed,1.2423334709804317,0.2685121027651435
8,0,-1.0,-11.469727199990302,correct rejection,1.2423334709804317,0.2685121027651435
9,0,-1.0,-12.487858399981633,missed,1.3124768753222413,0.2431166740053778
10,0,-1.0,-12.487858399981633,correct rejection,1.3124768753222413,0.2431166740053778
11,0,-1.0,-13.33868409995921,missed,1.351064741007436,0.23449804561728632
12,0,-1.0,-13.33868409995921,correct rejection,1.351064741007436,0.23449804561728632
13,0,-1.0,-14.224104199907742,missed,1.3779896621782424,0.2302502452531039
14,0,-1.0,-14.224104199907742,correct rejection,1.3779896621782424,0.2302502452531039
15,0,-1.0,-20.627101399935782,missed,1.3990253947255313,0.22735192471350638
16,0,-1.0,-21.031656199949794,missed,1.4163896730652228,0.22509036127712267
17,0,-1.0,-21.031656199949794,correct rejection,1.4163896730652228,0.22509036127712267
18,0,-1.0,-21.031656199949794,correct rejection,1.4163896730652228,0.22509036127712267
19,0,-1.0,-21.031656199949794,correct rejection,1.4163896730652228,0.22509036127712267
20,0,0.8585125026408056,-22.829023999976926,missed,1.0829760160783524,0.3229166490407247
21,0,0.8585125026408056,-22.829023999976926,correct rejection,1.0829760160783524,0.3229166490407247
22,0,0.8585125026408056,-22.829023999976926,correct rejection,1.0829760160783524,0.3229166490407247
23,0,0.8585125026408056,-22.829023999976926,correct rejection,1.0829760160783524,0.3229166490407247
24,0,0.8585125026408056,-22.829023999976926,correct rejection,1.0829760160783524,0.3229166490407247
25,0,1.0,-25.097601999994367,missed,1.2423334709804317,0.2685121027651435
26,0,1.0,-25.097601999994367,correct rejection,1.2423334709804317,0.2685121027651435
27,0,1.0,-26.299562399974093,missed,1.3124768753222413,0.2431166740053778
28,0,1.0,-26.299562399974093,correct rejection,1.3124768753222413,0.2431166740053778
29,0,1.0,-27.39951569994446,missed,1.351064741007436,0.23449804561728632
30,0,1.0,-27.39951569994446,correct rejection,1.351064741007436,0.23449804561728632
31,0,1.0,-28.384971999912523,missed,1.3779896621782424,0.2302502452531039
32,0,1.0,-28.384971999912523,correct rejection,1.3779896621782424,0.2302502452531039
33,0,1.0,-28.384971999912523,correct rejection,1.3779896621782424,0.2302502452531039
34,0,-1.0,-30.235370399896055,missed,1.431203199150185,0.22322392844842973
35,0,-1.0,-30.729120699921623,missed,1.444130792815129,0.22163454213768427
36,0,-1.0,-30.729120699921623,correct rejection,1.444130792815129,0.22163454213768427
37,0,-1.0,-31.903231299947947,missed,1.4556043207838127,0.2202517270505924
38,0,-1.0,-32.39302569988649,missed,1.4659214135963632,0.21902910311530852
39,0,1.0,-32.850749999983236,missed,1.3990253947255313,0.22735192471350638
