,event_type,onset,duration,trial_jump
0,condition_start,34.54823629988823,,
1,occluded_forward_jump,35.20590289996471,0.33385629998520017,1.0
2,occluded_backward_jump,36.4250968999695,0.3313912999583408,-1.0
3,occluded_backward_jump,38.409621899947524,0.33132829994428903,-0.8585125026408056
4,occluded_backward_jump,39.176344199921004,0.30646280001383275,-1.0
5,occluded_forward_jump,39.88240739994217,0.3059217999689281,0.8585125026408056
6,occluded_forward_jump,40.79505309998058,0.30623410001862794,1.0
7,occluded_forward_jump,48.377292299992405,0.31240940000861883,1.0
8,occluded_backward_jump,49.58569819992408,0.33147139998618513,-1.0
9,occluded_backward_jump,50.90368199988734,0.33090000005904585,-1.0
10,occluded_backward_jump,51.581171199912205,0.30994100007228553,-1.0
11,occluded_forward_jump,52.27786089992151,0.3056864000391215,1.0
12,occluded_backward_jump,53.455563799943775,0.33206459996290505,-1.0
13,occluded_forward_jump,58.04243009991478,0.3321613000007346,1.0
14,occluded_backward_jump,59.03826579998713,0.3085578999016434,-1.0
15,occluded_backward_jump,59.82077239989303,0.31102510006166995,-1.0
