,event_type,time
0,blink_start,4.140363699989393
1,blink_end,5.171748499968089
2,blink_start,8.115377399954014
3,blink_end,9.12536830001045
4,blink_start,11.974727699998766
5,blink_end,12.997455999953672
6,blink_start,15.244326299987733
7,blink_end,16.257407099939883
8,blink_start,18.82148129993584
9,blink_end,19.846198600018397
10,blink_start,24.66973439999856
11,blink_end,25.690189599990845
12,blink_start,27.434023799956776
13,blink_end,28.462960199918598
14,blink_start,30.550565999932587
15,blink_end,31.574020499945618
16,blink_start,33.39653729996644
17,blink_end,34.42462990002241
18,blink_start,37.346394399995916
19,blink_end,38.36949850001838
20,blink_start,40.18003829999361
21,blink_end,41.20078439998906
22,blink_start,42.87830659991596
23,blink_end,43.899056699941866
24,blink_start,51.54124209994916
25,blink_end,52.564735999912955
26,blink_start,55.955221400014125
27,blink_end,56.97870570002124
28,blink_start,59.55369019997306
29,blink_end,60.57751560001634
30,blink_start,63.73653049999848
31,blink_end,64.75675009994302
32,blink_start,66.98351259995252
33,blink_end,68.01004939991981
34,blink_start,71.15090709994547
35,blink_end,72.17029609996825
36,blink_start,77.36705200001597
37,blink_end,78.3801752999425
38,blink_start,81.04829890001565
39,blink_end,82.06373609998263
40,blink_start,84.42909300001338
41,blink_end,85.44618069997523
42,blink_start,88.14028900000267
43,blink_end,89.16426989994943
44,blink_start,92.35568429995328
45,blink_end,93.38271849998273
46,blink_start,95.62640159996226
47,blink_end,96.63994000002276
48,blink_start,98.50396350002848
49,blink_end,99.52541539992671
50,blink_start,102.03519329999108
51,blink_end,103.05900260002818
52,blink_start,105.05146819993388
53,blink_end,106.07669229991734
54,blink_start,108.25246190000325
55,blink_end,109.26940769993234
56,blink_start,111.28331440000329
57,blink_end,112.30392370000482
58,blink_start,114.24691709992476
59,blink_end,115.2702240999788
