,time,video_jump,response_speedresponse_type,response_speed,response_type
0,8.11043909995351,1,,,correct rejection
1,11.970761999953538,1,,,missed
2,15.240936900023371,1.2,,,missed
3,18.817735699936748,1.44,,0.846703700022772,false positive
4,24.665908799972385,1.44,,0.9529323999304324,false positive
5,27.429996000020765,1.44,,,correct rejection
6,30.546184099977836,1.44,,0.8694574000546709,correct
7,33.39324579993263,1.152,,0.8859380000503734,correct
8,37.342427199939266,0.9216,,,correct rejection
9,40.17602959997021,0.9216,,0.7574096999596804,correct
10,42.87423499999568,0.73728,,,missed
11,51.53723060002085,0.8847360000000001,,0.8237617000704631,false positive
12,55.9511398000177,0.8847360000000001,,,missed
13,59.5488368999213,1.0616832,,,correct rejection
14,63.733004199923016,1.0616832,,1.0377025000052527,false positive
15,66.97956529993098,1.0616832,,1.2108096000738442,correct
16,71.14656549994834,0.8493465600000001,,,correct rejection
17,77.36385889991652,0.8493465600000001,,0.9756572999758646,correct
18,81.04457669996191,0.6794772480000001,,,missed
19,84.42597769992426,0.8153726976000001,,,correct rejection
20,88.13652890000958,0.8153726976000001,,,missed
21,92.35209059994668,0.97844723712,,,missed
22,95.62304570002016,1.174136684544,,1.2513873999705538,correct
23,98.49959409993608,0.9393093476352,,,correct rejection
24,102.03113209991716,0.9393093476352,,1.0723656000336632,correct
25,105.04729329992551,0.75144747810816,,,correct rejection
26,108.24821260001045,0.75144747810816,,,missed
27,111.28009789995849,0.901736973729792,,0.08979250001721084,correct
28,114.24297459993977,0.7213895789838336,,0.44041059992741793,false positive
